Segment,Start,End
PA,167,1990
PA,121,196
PB2,121,160
PB1,371,1897
PB1,165,1972
PA,171,1984
PA,304,1868
PA,122,157
PB1,45,85
PA,122,172
PB1,149,2092
PB2,162,2095
PA,122,1967
PB1,197,2063
PB1,214,2055
PB1,329,2166
PB1,199,2085
PB1,2008,2031
PB1,46,84
PB1,240,2094
PB1,150,2073
PB1,148,178
PA,186,2029
PB1,95,138
PA,124,180
PA,204,2012
PB1,199,254
PB1,194,2080
PB2,217,2204
PA,187,1974
PA,124,172
PB1,240,2035
PA,207,1960
PB1,199,2230
PB1,142,2071
PA,129,1989
PB1,171,2055
PB1,158,2130
PB1,271,1973
PB1,213,2063
PB1,174,2091
PB1,2128,2165
PA,146,1990
PA,171,1945
PB1,329,1959
PB1,327,1869
PB1,195,2054
PB1,146,2056
PB2,97,1975
PA,187,1960
PB1,137,2030
PA,213,2027
PA,156,1951
PA,142,1951
PB1,193,2062
PB1,218,280
PA,204,1990
PB1,164,2054
PA,207,1808
PB1,337,1989
PB1,195,2037
PB1,346,1884
PB2,191,2195
PA,234,2027
PA,169,1924
PA,245,1844
PA,135,1960
PB1,154,2110
PA,294,317
PB1,2084,2129
PB1,165,2111
PB1,2053,2129
PA,167,2011
PB1,68,116
PB1,2090,2165
PB1,148,1988
PB1,162,2061
PA,207,248
PB1,328,2014
PB1,1896,2054
PB1,287,2074
PB1,164,200
PB2,121,2065
PB1,199,2037
PA,294,1808
PB1,2116,2165
PA,359,1844
PB2,185,2138
PB1,167,1988
PA,234,1960
PB1,199,2082
PA,167,1937
PA,204,1948
PA,247,1945
PB1,2069,2099
PA,305,1845
PB1,328,2091
PB1,358,2022
PB1,328,2129
PB1,139,2056
PA,316,1879
PB1,115,140
PA,299,1852
PB1,113,168
PB1,283,2070
PB1,240,2085
PB2,117,164
PB1,54,120
PB1,213,289
PB1,198,2072
PA,143,1985
PB1,195,2091
PA,123,236
PB1,207,2109
PA,299,1747
PB1,95,168
PB1,167,2165
PB1,2109,2203
PB1,164,2056
PA,138,1986
PB1,195,2162
PB1,137,1988
PB2,179,2005
PA,207,2027
PA,142,1978
PB1,115,2110
PA,295,372
PB1,2090,2129
PA,207,1945
PA,292,1949
PB1,170,2063
PB1,192,2054
PB1,371,2054
PB1,199,2036
PB1,196,2083
PB2,266,2196
PA,234,1879
PB1,2157,2230
PB1,275,2110
PB1,139,165
PB1,2084,2110
PB1,2060,2110
PA,370,1951
PA,138,1937
PA,181,2019
PB1,199,2110
PB1,140,2015
PA,167,1984
PB1,157,224
PA,247,1986
PB1,199,2056
PB1,269,2054
PA,408,2018
PB1,138,2072
PB1,194,2072
PB2,226,2061
PA,204,1960
PA,171,1964
PA,179,1945
PA,2026,2063
PB1,149,215
PA,164,1989
PA,196,2013
PA,258,1844
