Segment,Start,End
PA,1390,2027
PB1,328,1901
PB2,188,2164
PB2,468,1793
PA,294,1945
PB1,289,1898
PB1,346,1928
PB1,278,2102
PB1,347,1898
PB1,162,2037
PB1,271,2167
PA,1976,2074
PA,179,1937
PB1,333,1921
PB1,137,2158
PA,235,2064
PB1,2202,2258
PA,138,2017
PA,124,1960
PB1,167,1995
PA,169,1947
PB1,2053,2110
PB1,165,1898
PB1,2053,2165
PB1,55,80
PA,244,1828
PB1,192,1988
PB1,54,98
PB1,224,2057
PA,142,172
NA,541,1086
PA,230,1951
PA,247,1940
PA,382,1745
PA,194,1960
PB1,139,2141
PA,207,1948
PB1,137,254
PB1,213,2129
PB2,668,1671
PB1,346,1901
PA,122,1966
PA,136,1987
PB1,164,2071
PB1,163,2092
PA,168,1979
PA,139,186
PA,121,1965
PB1,113,1897
PB1,218,2177
PA,146,1937
PB1,205,2085
PB1,185,2058
PA,146,2083
PB1,200,2015
PA,124,1974
PB1,184,2086
PA,163,2002
PB1,164,2149
PB1,328,1858
PA,135,1948
PB1,54,1829
PB1,193,2057
PA,294,1745
PB1,196,1902
PB1,310,1972
PA,142,1844
PB1,157,2061
PA,163,188
PB1,1952,2209
PA,140,1810
PA,353,1832
PB1,2110,2159
PB1,164,224
PA,185,1961
PB1,261,2054
PB1,162,1983
PA,247,2063
PB1,140,164
PA,120,1990
PB1,328,1906
PB1,2109,2230
PA,2046,2074
PB1,137,1928
PB2,199,2006
PB1,1857,1887
PB2,208,2139
PB1,2036,2129
PA,129,1977
PB1,164,2105
PA,1973,2011
PB1,375,1982
PA,163,195
PB1,54,83
PB1,192,2165
PA,171,1879
PA,172,1968
PB1,48,2074
PB1,54,96
PB1,329,1898
PB1,139,168
PA,136,2012
PB1,2070,2105
PB1,2140,2165
PB1,47,2018
PA,84,1990
PB1,96,2111
PB1,1754,1860
PB1,2010,2071
PB1,133,176
PB2,143,2139
PB1,167,2030
PB1,2007,2071
PA,188,2012
PB2,191,1975
PB1,195,1969
PB1,195,1988
PB1,447,1725
PB1,199,1971
PB1,97,2129
PB1,126,200
PB1,137,196
PB1,56,1930
PB1,224,255
PA,297,1903
PB1,137,2110
PB2,184,2172
PA,194,1974
PB1,113,219
PB1,2013,2129
M,126,741
PB1,116,169
PB1,137,2177
PB1,55,2057
PB2,176,2150
PB1,2053,2085
