Segment,Start,End
PA,277,1808
PB2,184,210
PB1,167,2071
PB2,163,2152
PB1,113,2056
PA,85,126
PB1,137,2165
PA,83,2074
PA,1944,2063
PA,120,235
PB2,199,2065
PA,137,2075
PB1,288,2011
PA,147,1985
PB1,328,2071
PB2,151,2085
PB1,63,2014
PB1,67,1903
PB1,1994,2061
PA,179,2011
PB1,288,2054
PA,124,2063
PB1,218,2054
PB1,338,1829
PB1,163,201
PB1,183,2071
PA,207,2063
PB1,92,2127
PB1,133,2133
NP,1259,1288
PB1,167,1971
PB1,143,2164
PB1,258,2082
PB2,107,1937
PB1,137,2115
PB2,209,2196
PB1,184,2110
PB1,223,2091
PB1,85,2086
PA,139,1961
PB1,54,163
PB1,269,2129
PB1,137,2094
PB1,114,141
PB1,240,2056
PB1,289,1996
PB2,98,2005
PA,122,1852
PB1,137,2129
PA,146,1960
PA,121,1987
NP,234,1277
PA,84,2063
PB1,205,2129
PB1,375,1901
PB1,207,2081
PA,413,1745
PB2,152,184
PB2,128,2156
PB1,162,2085
PB2,129,161
PB2,2133,2213
PA,156,180
PB1,2010,2165
PA,245,1967
PA,179,248
PB1,1968,2129
PB1,170,2186
PA,156,2012
PB1,2037,2111
PB1,269,2085
PB1,2176,2230
PB1,172,2073
PA,139,1923
PA,120,1948
PA,138,259
PB1,289,1959
PB2,239,1976
PB1,288,2061
PB1,157,200
PA,294,1879
PB2,209,2204
PB2,207,2140
PB1,1896,1928
PB1,137,2137
PB2,143,2195
PA,195,1952
PB1,78,2054
PA,163,1948
PB1,346,1858
PB1,224,2062
PA,245,2027
PA,124,157
PB1,170,2149
PB1,346,1906
PA,228,2027
PB2,152,2065
PB1,147,2025
PB1,137,2011
PB2,2052,2139
PB1,54,149
PA,179,2012
PA,136,1952
PB1,54,2132
PB1,140,172
PB1,1883,1949
PB1,149,2015
PB1,68,149
PB2,196,2153
PB1,63,138
PA,257,2074
PB2,207,2062
PA,167,292
PB1,167,200
PB1,79,1950
PB2,2129,2195
PA,145,2005
PA,172,1917
PB1,195,2149
PB1,158,2142
PB2,115,266
PA,146,172
PB1,338,1897
PA,163,1986
PA,123,2074
PB1,56,2110
PA,207,235
PB2,199,2152
PB1,261,2091
PA,120,1960
PB2,118,218
PB1,381,1897
PB1,195,2132
PA,299,1870
PB1,174,2116
PB1,114,172
PB2,2132,2204
PA,124,1967
PB1,167,2056
PA,120,1967
PB1,155,2086
PB2,248,2009
PB1,330,1936
PB1,261,2016
PB1,271,1997
PB1,275,1995
PB1,164,2129
NP,1241,1270
PB1,161,2080
PA,294,1850
PA,179,1951
PB2,135,2152
PA,124,1945
PB2,90,136
PA,179,1993
PA,1944,1984
PA,84,1960
PB1,166,2102
PA,247,280
PA,304,1832
PB1,193,2177
PB1,207,2073
PB1,137,2061
PB1,2077,2133
PA,125,1965
PA,172,1949
PB1,2082,2110
PB1,127,169
PB1,1244,2084
PB1,334,1899
PA,234,1868
PB1,66,158
PB1,146,2129
PA,173,2014
PB2,107,164
PA,156,2002
PB2,148,2137
PB1,126,2061
PB1,321,1898
PA,294,360
PA,171,1928
PA,179,1990
PA,171,2063
PA,1945,2028
PA,179,2002
PA,142,1868
PB1,133,2142
PB1,213,298
PB2,251,2139
PB1,112,2200
PB2,163,2159
PB2,249,2215
PB1,2013,2158
PB1,1987,2011
PB2,218,2005
PB1,45,77
PB2,216,2114
PB2,138,167
PB1,148,2177
PA,258,1967
PA,147,2064
PB1,148,2141
PA,316,1716
PB1,113,2141
PB1,25,2116
PB1,1897,1927
PB1,115,2056
PB1,199,1995
PA,244,2074
PB2,122,2160
PB1,199,2045
PB1,126,2091
PB2,151,192
PB1,156,1908
PB1,54,1319
PB2,204,2203
PB1,137,2041
PB2,186,2198
PA,180,2064
PB1,191,2080
PB2,164,206
PB2,199,2139
PB2,238,2153
PB1,162,1928
PB1,192,2014
PB1,328,1954
PA,391,1833
