,key,Start,End,segment,PN6,PN7,PN8,PN9,PN13,PN14,PN15,PN16,PN17,PN22,PN24,PN25,PN31,PN32,PN33,PN38,PN40,PN41,PN42,PN45,PN46,PN47,PN48,sum_reads,classification,max_diff,slope,rank,cluster
25671,PB1_98_2055,98,2055,PB1,93.0,442.0,514.0,760.0,463.0,628.0,538.0,589.0,389.0,330.0,129.0,232.0,86.0,120.0,321.0,292.0,248.0,45.0,106.0,195.0,100.0,70.0,49.0,6739.0,loss,44.0,-21.49407114624506,198.0,1.0
19316,PB1_2230_2259,2230,2259,PB1,72.0,264.0,196.0,203.0,88.0,152.0,83.0,62.0,31.0,38.0,17.0,20.0,12.0,8.0,3.0,4.0,10.0,9.0,13.0,13.0,3.0,19.0,29.0,1349.0,loss,43.0,-8.210474308300395,206.5,1.0
15160,PB1_163_2204,163,2204,PB1,42.0,238.0,157.0,185.0,75.0,119.0,129.0,71.0,26.0,16.0,6.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1082.0,loss,42.0,-7.83399209486166,213.0,1.0
24666,PB1_674_1595,674,1595,PB1,41.0,297.0,159.0,339.0,161.0,72.0,107.0,34.0,25.0,19.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,loss,41.0,-9.785573122529646,218.0,1.0
23972,PB1_54_2129,54,2129,PB1,60.0,220.0,107.0,141.0,36.0,139.0,55.0,147.0,76.0,71.0,17.0,38.0,36.0,52.0,38.0,10.0,19.0,7.0,20.0,35.0,16.0,1.0,26.0,1367.0,loss,34.0,-5.92490118577075,277.5,1.0
15238,PB1_164_2141,164,2141,PB1,37.0,128.0,77.0,143.0,78.0,113.0,78.0,62.0,47.0,13.0,32.0,17.0,13.0,15.0,21.0,4.0,9.0,0.0,4.0,3.0,11.0,0.0,4.0,909.0,loss,33.0,-5.16106719367589,286.0,2.0
19768,PB1_240_2056,240,2056,PB1,27.0,240.0,131.0,210.0,129.0,206.0,220.0,144.0,94.0,108.0,36.0,39.0,14.0,22.0,49.0,31.0,31.0,15.0,17.0,14.0,15.0,6.0,0.0,1798.0,loss,27.0,-8.799407114624506,375.0,1.0
13877,PB1_137_2129,137,2129,PB1,148.0,792.0,620.0,895.0,754.0,969.0,651.0,958.0,629.0,337.0,136.0,426.0,275.0,310.0,462.0,367.0,276.0,166.0,338.0,745.0,342.0,383.0,121.0,11100.0,loss,27.0,-20.231225296442688,375.0,1.0
12968,PB1_113_2129,113,2129,PB1,26.0,110.0,126.0,133.0,57.0,105.0,135.0,139.0,120.0,36.0,15.0,47.0,23.0,49.0,44.0,37.0,29.0,7.0,14.0,50.0,6.0,23.0,0.0,1331.0,loss,26.0,-4.862648221343872,398.5,2.0
13891,PB1_137_2177,137,2177,PB1,26.0,86.0,61.0,87.0,68.0,137.0,49.0,62.0,45.0,18.0,8.0,22.0,13.0,3.0,19.0,13.0,1.0,4.0,6.0,17.0,10.0,15.0,1.0,771.0,loss,25.0,-3.730237154150198,422.5,3.0
